iter	Logloss	Accuracy
0	0.6741221399	0.8131111	0.657687272	0.81
2	0.6432912613	0.81
3	0.6290726418	0.8125
4	0.6144705585	0.8125
5	0.6022414045	0.8075
6	0.595043253	0.812577	0.5832244532	0.818	088	0.57187707	0.89	0.9	0.5628686011	10	0.5510	0.5575686097	011	0.511	0.549918636612	0.54612	0.5416689713	0.542213	0.53674614	014	0.537114	0.52989715	015	0.515	15	0.5236016	0.16	016	016	0.51974817	0.17	0171717	0.51357818	0.18	0181818	0.50807319	0.19119	0.19	0.50320	20	022020	20	0.49821	0.42121	0.2121	0.422	0.485922	0.492222	23	0.4821223	0.49182324	0.47852924	0.4882424	25	0.476125	0.484152526	0.4726326	0.4819227	0.46978227	0.478527	28	0.467412828	0.47492829	0.46487229	0.4729	0.30	0.4610930	0.46930	0.431	0.45931	0.466431	0.432	0.4532	0.4632	0.454133	0.45533	033	0.45088434	0.454834	34	0.44849735	0.45235	0.35	0.44529036	0.45136	0.36	0.44337	0.4498437	37	0.442838	0.448156838	0.44072439	0.4480039	0.43996386240	0.4451040	0.4373541	0.44359097241	0.4363742	0.44315500842	0.4342043	0.44171143	0.4327644	0.44057491644	0.4304845	0.43950205845	0.427746	0.43848930746	0.4271047	0.43683453747	0.4254848	0.4353836948	0.42429949	0.432657249	0.422981250	0.43206450	0.4217043951	0.43058851	0.42091952	0.42927752	0.419339953	0.4285253	0.41893092454	0.42754	0.41826172955	0.42655	0.4169948227	56	0.456	0.4154563127	057	0.57	0.4138194948	0.558	58	0.413026041	0.825559	0.4129842721	0.825960	0.4129449842	0.825
61	0.412824382	0.825
62	0.4124099805	0.825
63	0.4114425969	0.825
64	0.4105660775	0.825
65	0.4102587933	0.825
66	0.4095985256	0.82625
67	0.4087590742	0.8275
68	0.4082781454	0.82875
69	0.4071704145	0.83
70	0.4069964441	0.83125
71	0.4060891985	0.83
72	0.405876376	0.83125
73	0.4053268579	0.83375
74	0.4047053671	0.83375
75	0.4036083017	0.835
76	0.4035799006	0.835
77	0.4028972002	0.835778	0.4019770457	0.837979	0.4018476487	0.880	80	0.4008654381	0.81	081	0.4005080325	82	0.482	0.400285932783	0.4083	0.3995759854	084	0.84	0.3989764557	0.85	0.485	0.398899280586	0.407286	0.398582967887	0.406687	0.398434174	88	0.40588	0.39842801589	0.4051289	0.39795340190	0.4047790	0.3975876591	0.40400391	0.39758292	0.4035454592	0.397393	0.403488957693	0.3994	0.4024175009	94	0.395	0.4022526659	0.95	0.396	0.4016387622	0.96	0.97	0.4012584577	0.97	98	0.401087574	0.8275999	0.4010313636	0.82899	100	0.4006915192	0100	0.3101	0.3997531394	0101	102	0.399122666	0.83
103	0.3991201315	0.83
104	0.3987187063	0.83125
105	0.3985388566	0.83125
106	0.3984342481	0.83125
107	0.3984312654	0.83125
108	0.3981439435	0.83375
109	0.397835307	0.83125
110	0.397625606	0.8325
111	0.3968441193	0.8325
112	0.3962633373	0.82875
113	0.3957550691	0.82875
114	0.3952661614	0.83
115	0.395241265	0.83125
116	0.3951645376	0.82875
117	0.3946812024	0.82875
118	0.3939771419	0.82875
119	0.3939754565	0.82875
120	0.3939747454	0.82875
121	0.3937777892	0.83
122	0.3935960301	0.82875
123	0.3932050573	0.82875
124	0.3928695791	0.8275
125	0.392626293	0.83
126	0.3922650804	0.83
127	0.3918224656	0.83125
128	0.3917338326	0.8325
129	0.3915443188	0.83125
130	0.3911565791	0.83
131	0.39113431	0.83125
132	0.3911102184	0.83125
133	0.3907116615	0.83125
134	0.3902865655	0.83125
135	0.3900948057	0.83125
136	0.3899958561	0.83125
137	0.3896374712	0.83375
138	0.38946354	0.83375
139	0.3894026986	0.83375
140	0.3891891814	0.835
141	0.388994654	0.83375
142	0.3886760021	0.835
143	0.388459478	0.83375
144	0.3876972248	0.83375
145	0.3871599717	0.835
146	0.3870651584	0.835
147	0.3868463532	0.835
148	0.3865722274	0.835
149	0.3865721816	0.835
150	0.3863462326	0.83625
151	0.385930338	0.8375
152	0.3854335047	0.83875
153	0.3849768251	0.83875
154	0.3848468598	0.83875
155	0.3844200456	0.8375
156	0.384089844	0.8375
157	0.3839493926	0.83875
158	0.3837848455	0.84125
159	0.3833189465	0.84
160	0.3830446303	0.84
161	0.3827884958	0.84
162	0.3825740452	0.84
163	0.3824111233	0.84
164	0.3822237972	0.84125
165	0.3822232057	0.84125
166	0.382083999	0.84
167	0.3817976172	0.84125
168	0.3817970329	0.84125
169	0.381661775	0.8425
170	0.3813619793	0.8425
171	0.3812642479	0.8425
172	0.3810876875	0.8425
173	0.3808126375	0.8425
174	0.3806776587	0.8425
175	0.3802957171	0.84125
176	0.3796914316	0.8425
177	0.3793738495	0.8425
178	0.3792234938	0.8425
179	0.3790711378	0.84375
180	0.3790711376	0.84375
181	0.3790683581	0.84375
182	0.3789442098	0.84375
183	0.3785061269	0.845
184	0.378361607	0.84625
185	0.3776353238	0.8475
186	0.3775645819	0.8475
187	0.377427184	0.8475
188	0.3773344918	0.8475
189	0.3773341963	0.8475
190	0.3772927982	0.8475
191	0.3767579057	0.8475
192	0.3766229842	0.8475
193	0.3760659699	0.8475
194	0.3760586848	0.8475
195	0.3759190415	0.8475
196	0.3759187631	0.8475
197	0.3759184947	0.8475
198	0.3755800221	0.84875
199	0.3753743723	0.84875
200	0.3749895005	0.84875
201	0.3746950406	0.84875
202	0.3744854416	0.845
203	0.3741733673	0.845
204	0.373948887	0.8475
205	0.3735582542	0.8475
206	0.3734494605	0.8475
207	0.3732235489	0.8475
208	0.3731878145	0.8475
209	0.372828428	0.8475
210	0.3726543479	0.8475
211	0.3723368106	0.8475
212	0.371618242	0.8475
213	0.3713031192	0.8475
214	0.3710471111	0.84875
215	0.3709103521	0.8475
216	0.3706457426	0.84875
217	0.3704126385	0.84875
218	0.3703346282	0.84875
219	0.3703344252	0.84875
220	0.370014802	0.84875
221	0.3699545173	0.84875
222	0.3698994521	0.84875
223	0.3697530288	0.85
224	0.3690259065	0.85125
225	0.3688722374	0.85125
226	0.3688721986	0.85125
227	0.368552565	0.85125
228	0.3685525613	0.85125
229	0.3684032372	0.85125
230	0.367860027	0.85125
231	0.3677302648	0.8525
232	0.3674162356	0.8525
233	0.3673539775	0.8525
234	0.3672639421	0.8525
235	0.367044706	0.8525
236	0.3670446785	0.8525
237	0.3669286845	0.8525
238	0.3665619515	0.8525
239	0.3664124491	0.8525
240	0.3663048025	0.8525
241	0.366233714	0.8525
242	0.3656114374	0.8525
243	0.3655190972	0.8525
244	0.3651997837	0.85375
245	0.3649318946	0.85375
246	0.3649032113	0.85375
247	0.3647005407	0.85375
248	0.3643106514	0.85625
249	0.364201444	0.855
250	0.3640934855	0.85625
251	0.3637965597	0.85625
