iter	Passed	Remaining
0	2964	2961047
1	6281	3134640
2	9389	3120366
3	12059	3002920
4	14734	2932212
5	18279	3028224
6	22317	3165882
7	25621	3177115
8	28902	3182506
9	31526	3121131
10	34003	3057246
11	36875	3036056
12	40279	3058151
13	45484	3203374
14	49299	3237312
15	52022	3199375
16	56357	3258780
17	58976	3217477
18	61168	3158240
19	64001	3136077
20	67751	3158527
21	71340	3171387
22	74781	3176593
23	77155	3137676
24	82297	3209604
25	84919	3181223
26	87454	3151589
27	91585	3179308
28	95952	3212750
29	99314	3211157
30	102946	3217908
31	105476	3190652
32	109994	3223164
33	114050	3240365
34	117117	3229101
35	120322	3221972
36	123300	3209148
37	127979	3239906
38	133000	3277268
39	136227	3269451
40	139149	3254745
41	143161	3265440
42	146085	3251248
43	149683	3252215
44	153185	3250941
45	157114	3258408
46	161562	3275935
47	165443	3281301
48	168273	3265880
49	171515	3258791
50	176136	3277523
51	179676	3275640
52	182830	3266800
53	186088	3259995
54	190207	3268111
55	193351	3259347
56	196089	3244083
57	200747	3260422
58	204676	3264421
59	208618	3268360
60	212571	3272201
61	217045	3283681
62	219813	3269296
63	223003	3261428
64	227646	3274613
65	230332	3259556
66	233091	3245884
67	235978	3234289
68	239936	3237407
69	246765	3278455
70	251673	3293025
71	257550	3319541
72	260904	3313135
73	265133	3317754
74	268635	3313169
75	271772	3304183
76	275377	3300957
77	278915	3296920
78	281929	3286795
79	286359	3293139
80	290035	3290646
81	292858	3278582
82	296939	3280644
83	302028	3293552
84	305419	3287748
85	309146	3285585
86	311810	3272223
87	315664	3271431
88	321084	3286603
89	324001	3276015
90	326910	3265513
91	330663	3263500
92	333641	3253896
93	337056	3248655
94	341913	3257175
95	345326	3251827
96	348554	3244787
97	352002	3239861
98	354595	3227178
99	357986	3221881
100	361781	3220213
101	366151	3223571
102	370000	3222233
103	373502	3217871
104	376362	3208045
105	380156	3206222
106	382926	3195828
107	385538	3184259
108	389464	3183606
109	393454	3183405
110	399050	3195999
111	402798	3193612
112	407900	3201839
113	411264	3196322
114	415019	3193848
115	419388	3196029
116	422391	3187795
117	425585	3181073
118	430957	3190530
119	434450	3185969
120	438674	3186733
121	440896	3173011
122	443554	3162580
123	446554	3154689
124	451014	3157100
125	457726	3175025
126	462168	3176954
127	464895	3167102
128	468266	3161707
129	473548	3169133
130	476562	3161322
131	479878	3155567
132	483049	3148903
133	486586	3144657
134	490635	3143703
135	494332	3140465
136	497202	3132013
137	499728	3121495
138	503045	3115987
139	507028	3114602
140	512680	3123354
141	517391	3126212
142	520826	3121314
143	524179	3115955
144	528241	3114804
145	533711	3121846
146	536404	3112603
147	538906	3102351
148	541882	3094915
149	546443	3096512
150	551318	3099800
151	554281	3092304
152	557889	3088446
153	560187	3077394
154	563544	3072224
155	567753	3071690
156	572919	3076246
157	576575	3072637
158	579753	3066492
159	582236	3056743
160	586985	3058887
161	591531	3059898
162	594349	3051967
163	596864	3042554
164	600213	3037446
165	605162	3040394
166	609542	3040413
167	613714	3039349
168	616517	3031515
169	619985	3026987
170	622409	3017414
171	625270	3010022
172	629173	3007666
173	632831	3004131
174	636595	3001092
175	639625	2994610
176	642286	2986449
177	646027	2983342
178	651271	2987117
179	655000	2983892
180	657676	2975896
181	661650	2973792
182	667361	2979420
183	670939	2975469
184	673142	2965465
185	676233	2959431
186	680157	2957046
187	684889	2958141
188	688414	2953990
189	691292	2947090
