iter	Logloss	Accuracy
0	0.6876819482	0.7930258718
1	0.6826774067	0.7930258718
2	0.6768700439	0.8008998875
3	0.6714412579	0.7997750281
4	0.6660873858	0.8042744657
5	0.6615774701	0.8008998875
6	0.6569199282	0.8008998875
7	0.6526540826	0.8008998875
8	0.6484505374	0.8008998875
9	0.6441110269	0.8008998875
10	0.639940835	0.8008998875
11	0.6349258784	0.8008998875
12	0.6309152865	0.8008998875
13	0.6273280015	0.8008998875
14	0.6233277507	0.8008998875
15	0.6202296529	0.8008998875
16	0.6166053386	0.8008998875
17	0.6127539587	0.8008998875
18	0.6088464012	0.8008998875
19	0.6051813135	0.8008998875
20	0.6014208457	0.8008998875
21	0.5981899754	0.8008998875
22	0.5948015591	0.8008998875
23	0.5910978657	0.7997750281
24	0.5874239575	0.7997750281
25	0.5841306498	0.7997750281
26	0.5812142205	0.7997750281
27	0.5780107294	0.7997750281
28	0.5745805905	0.7997750281
29	0.5727367898	0.7997750281
30	0.5692464911	0.7997750281
31	0.5663203892	0.8031496063
32	0.5634172626	0.8031496063
33	0.5606385382	0.8031496063
34	0.5581109196	0.8042744657
35	0.555405826	0.8042744657
36	0.5531142335	0.8042744657
37	0.5509105727	0.8042744657
38	0.5487789646	0.8042744657
39	0.5465081879	0.8042744657
40	0.5437345125	0.8042744657
41	0.5412822414	0.8042744657
42	0.5389093121	0.8076490439
43	0.536441463	0.8155230596
44	0.5342308206	0.8143982002
45	0.5319309274	0.8143982002
46	0.5297890637	0.8143982002
47	0.5273741768	0.8143982002
48	0.5253601418	0.8143982002
49	0.5230384415	0.8143982002
50	0.5213018781	0.8143982002
51	0.5202178929	0.8155230596
52	0.5181003778	0.8155230596
53	0.5170646875	0.8155230596
54	0.5155044986	0.8155230596
55	0.5132752383	0.8143982002
56	0.5117842952	0.8143982002
57	0.5098717924	0.8143982002
58	0.5083936527	0.8143982002
59	0.5074852984	0.8143982002
60	0.5058351841	0.8155230596
61	0.5039866154	0.8155230596
62	0.5027672044	0.8155230596
63	0.501949578	0.8143982002
64	0.5002730958	0.8155230596
65	0.4990097679	0.8155230596
66	0.4974615758	0.8143982002
67	0.4959333711	0.8143982002
68	0.4945093911	0.8143982002
69	0.4932080191	0.8143982002
70	0.4920602879	0.8143982002
71	0.4902048938	0.816647919
72	0.4887967424	0.8188976378
73	0.4875755633	0.8177727784
74	0.4869477851	0.8177727784
75	0.486236004	0.8177727784
76	0.4850199377	0.8188976378
77	0.4844286441	0.8177727784
78	0.4829711246	0.8200224972
79	0.4814704353	0.8200224972
80	0.4806021661	0.8200224972
81	0.4795622209	0.8188976378
82	0.4780973583	0.8188976378
83	0.477588363	0.8188976378
84	0.4763424168	0.8188976378
85	0.4755250654	0.8188976378
86	0.4745375808	0.8188976378
87	0.4735301935	0.8188976378
88	0.472837603	0.8188976378
89	0.4719188565	0.8188976378
90	0.4708599145	0.8200224972
91	0.4698863833	0.8211473566
92	0.4690688552	0.8200224972
93	0.4686654525	0.8200224972
94	0.4673288469	0.8200224972
95	0.4662267429	0.8211473566
96	0.4653377751	0.8188976378
97	0.4639905154	0.8200224972
98	0.4627115924	0.8200224972
99	0.4620663512	0.8200224972
100	0.461403369	0.8188976378
101	0.460487497	0.8177727784
102	0.4596587339	0.8188976378
103	0.4589200205	0.8188976378
104	0.4583307895	0.8200224972
105	0.4574722443	0.8188976378
106	0.4569246178	0.8188976378
107	0.4557326296	0.8188976378
108	0.4550749407	0.8188976378
109	0.4544111864	0.8177727784
110	0.4536698952	0.8177727784
111	0.4529244129	0.816647919
112	0.4522478886	0.8177727784
113	0.4511875406	0.8200224972
114	0.451122976	0.8200224972
115	0.4504161794	0.8188976378
116	0.4495563742	0.8200224972
117	0.4487596155	0.8211473566
118	0.4477638804	0.8211473566
119	0.4470438599	0.8211473566
120	0.4460168192	0.822272216
121	0.4455766915	0.8211473566
122	0.4451288471	0.822272216
123	0.4444931668	0.822272216
124	0.4442918452	0.8233970754
125	0.4436533801	0.822272216
126	0.4429020513	0.822272216
127	0.4422656316	0.8211473566
