iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
0	198	224	198	340	198	224	340
1	198	224	198	340	198	224	340
2	198	224	198	340	198	224	340
3	198	224	198	340	198	224	340
4	198	224	198	340	198	224	340
5	218	265	218	340	218	265	340
6	215	260	215	340	215	260	340
7	215	260	215	340	215	260	340
8	215	259	215	340	215	259	340
9	215	259	215	340	215	259	340
10	223	278	223	340	223	278	340
11	223	278	223	340	223	278	340
12	220	274	220	340	220	274	340
13	223	278	223	340	223	278	340
14	220	274	220	340	220	274	340
15	221	277	221	340	221	277	340
16	223	278	223	340	223	278	340
17	224	280	224	340	224	280	340
18	224	280	224	340	224	280	340
19	224	280	224	340	224	280	340
20	224	280	224	340	224	280	340
21	221	277	221	340	221	277	340
22	221	277	221	340	221	277	340
23	221	277	221	340	221	277	340
24	221	277	221	340	221	277	340
25	224	280	224	340	224	280	340
26	224	280	224	340	224	280	340
27	224	280	224	340	224	280	340
28	224	279	224	340	224	279	340
29	224	279	224	340	224	279	340
30	224	279	224	340	224	279	340
31	224	279	224	340	224	279	340
32	224	279	224	340	224	279	340
33	224	279	224	340	224	279	340
34	224	278	224	340	224	278	340
35	224	279	224	340	224	279	340
36	224	279	224	340	224	279	340
37	224	279	224	340	224	279	340
38	224	278	224	340	224	278	340
39	221	274	221	340	221	274	340
40	221	274	221	340	221	274	340
41	221	274	221	340	221	274	340
42	224	278	224	340	224	278	340
43	224	278	224	340	224	278	340
44	224	278	224	340	224	278	340
45	224	278	224	340	224	278	340
46	221	275	221	340	221	275	340
47	221	275	221	340	221	275	340
48	224	278	224	340	224	278	340
49	221	275	221	340	221	275	340
50	221	275	221	340	221	275	340
51	221	275	221	340	221	275	340
52	221	276	221	340	221	276	340
53	221	276	221	340	221	276	340
54	221	276	221	340	221	276	340
55	221	276	221	340	221	276	340
56	221	276	221	340	221	276	340
57	221	276	221	340	221	276	340
58	221	276	221	340	221	276	340
59	221	276	221	340	221	276	340
60	221	276	221	340	221	276	340
61	221	276	221	340	221	276	340
62	221	276	221	340	221	276	340
63	224	279	224	340	224	279	340
64	221	276	221	340	221	276	340
65	224	279	224	340	224	279	340
66	224	279	224	340	224	279	340
67	224	279	224	340	224	279	340
68	224	279	224	340	224	279	340
69	224	279	224	340	224	279	340
70	224	279	224	340	224	279	340
71	224	279	224	340	224	279	340
72	224	279	224	340	224	279	340
73	224	279	224	340	224	279	340
74	224	279	224	340	224	279	340
75	224	279	224	340	224	279	340
76	224	279	224	340	224	279	340
77	224	279	224	340	224	279	340
78	224	279	224	340	224	279	340
79	224	279	224	340	224	279	340
80	224	279	224	340	224	279	340
81	224	279	224	340	224	279	340
82	224	279	224	340	224	279	340
83	224	279	224	340	224	279	340
84	224	279	224	340	224	279	340
85	224	279	224	340	224	279	340
86	224	279	224	340	224	279	340
87	224	279	224	340	224	279	340
88	224	279	224	340	224	279	340
89	224	279	224	340	224	279	340
90	224	279	224	340	224	279	340
91	224	279	224	340	224	279	340
92	224	279	224	340	224	279	340
93	221	276	221	340	221	276	340
94	224	279	224	340	224	279	340
95	224	279	224	340	224	279	340
96	224	279	224	340	224	279	340
97	224	279	224	340	224	279	340
98	224	279	224	340	224	279	340
99	224	279	224	340	224	279	340
100	224	279	224	340	224	279	340
101	224	279	224	340	224	279	340
102	224	279	224	340	224	279	340
103	224	279	224	340	224	279	340
104	224	279	224	340	224	279	340
105	224	279	224	340	224	279	340
106	224	279	224	340	224	279	340
107	224	279	224	340	224	279	340
108	224	278	224	340	224	278	340
109	224	278	224	340	224	278	340
110	224	278	224	340	224	278	340
111	224	278	224	340	224	278	340
112	224	278	224	340	224	278	340
113	224	278	224	340	224	278	340
114	224	278	224	340	224	278	340
115	224	278	224	340	224	278	340
116	224	278	224	340	224	278	340
117	224	278	224	340	224	278	340
118	224	278	224	340	224	278	340
119	224	278	224	340	224	278	340
120	224	278	224	340	224	278	340
121	224	277	224	340	224	277	340
122	224	277	224	340	224	277	340
123	224	277	224	340	224	277	340
124	224	277	224	340	224	277	340
125	224	278	224	340	224	278	340
126	224	277	224	340	224	277	340
127	224	277	224	340	224	277	340
128	224	277	224	340	224	277	340
129	224	277	224	340	224	277	340
130	224	277	224	340	224	277	340
131	224	277	224	340	224	277	340
132	224	277	224	340	224	277	340
133	224	277	224	340	224	277	340
134	224	278	224	340	224	278	340
135	224	277	224	340	224	277	340
136	224	277	224	340	224	277	340
137	224	278	224	340	224	278	340
138	224	278	224	340	224	278	340
139	224	278	224	340	224	278	340
140	224	278	224	340	224	278	340
141	224	278	224	340	224	278	340
142	224	278	224	340	224	278	340
143	224	277	224	340	224	277	340
144	224	277	224	340	224	277	340
145	224	277	224	340	224	277	340
146	224	277	224	340	224	277	340
147	224	277	224	340	224	277	340
148	224	277	224	340	224	277	340
149	224	277	224	340	224	277	340
150	224	277	224	340	224	277	340
151	224	277	224	340	224	277	340
152	224	277	224	340	224	277	340
153	224	277	224	340	224	277	340
154	224	277	224	340	224	277	340
155	224	277	224	340	224	277	340
156	224	277	224	340	224	277	340
157	224	277	224	340	224	277	340
158	224	277	224	340	224	277	340
159	224	276	224	340	224	276	340
160	224	276	224	340	224	276	340
161	224	276	224	340	224	276	340
162	224	276	224	340	224	276	340
163	224	276	224	340	224	276	340
164	224	276	224	340	224	276	340
165	224	276	224	340	224	276	340
166	224	276	224	340	224	276	340
167	224	276	224	340	224	276	340
168	224	276	224	340	224	276	340
169	224	276	224	340	224	276	340
170	224	276	224	340	224	276	340
171	224	276	224	340	224	276	340
172	224	276	224	340	224	276	340
173	224	276	224	340	224	276	340
174	224	276	224	340	224	276	340
175	224	276	224	340	224	276	340
176	224	276	224	340	224	276	340
177	224	276	224	340	224	276	340
178	224	276	224	340	224	276	340
179	224	276	224	340	224	276	340
180	224	276	224	340	224	276	340
181	224	276	224	340	224	276	340
182	224	276	224	340	224	276	340
183	224	276	224	340	224	276	340
184	224	276	224	340	224	276	340
185	224	276	224	340	224	276	340
186	224	276	224	340	224	276	340
187	224	276	224	340	224	276	340
188	224	276	224	340	224	276	340
189	224	276	224	340	224	276	340
190	224	276	224	340	224	276	340
191	224	276	224	340	224	276	340
192	224	276	224	340	224	276	340
193	224	276	224	340	224	276	340
194	224	276	224	340	224	276	340
195	224	276	224	340	224	276	340
196	224	276	224	340	224	276	340
197	224	276	224	340	224	276	340
198	224	275	224	340	224	275	340
199	224	275	224	340	224	275	340
200	224	275	224	340	224	275	340
201	224	275	224	340	224	275	340
202	224	275	224	340	224	275	340
203	224	275	224	340	224	275	340
204	224	275	224	340	224	275	340
205	224	275	224	340	224	275	340
206	224	275	224	340	224	275	340
207	224	275	224	340	224	275	340
208	224	275	224	340	224	275	340
209	224	275	224	340	224	275	340
210	224	275	224	340	224	275	340
211	224	275	224	340	224	275	340
212	224	275	224	340	224	275	340
213	224	275	224	340	224	275	340
214	224	275	224	340	224	275	340
215	224	275	224	340	224	275	340
216	224	275	224	340	224	275	340
217	224	275	224	340	224	275	340
218	224	275	224	340	224	275	340
219	224	275	224	340	224	275	340
220	224	275	224	340	224	275	340
221	224	275	224	340	224	275	340
222	224	275	224	340	224	275	340
223	224	275	224	340	224	275	340
224	224	275	224	340	224	275	340
225	224	275	224	340	224	275	340
226	224	275	224	340	224	275	340
227	224	275	224	340	224	275	340
228	224	275	224	340	224	275	340
229	224	275	224	340	224	275	340
230	224	275	224	340	224	275	340
231	224	275	224	340	224	275	340
232	224	275	224	340	224	275	340
233	224	275	224	340	224	275	340
234	224	275	224	340	224	275	340
235	224	275	224	340	224	275	340
236	224	275	224	340	224	275	340
237	224	275	224	340	224	275	340
238	224	275	224	340	224	275	340
239	224	275	224	340	224	275	340
240	224	275	224	340	224	275	340
241	224	275	224	340	224	275	340
242	224	275	224	340	224	275	340
243	224	275	224	340	224	275	340
244	224	275	224	340	224	275	340
245	224	275	224	340	224	275	340
246	224	275	224	340	224	275	340
247	224	275	224	340	224	275	340
248	224	275	224	340	224	275	340
249	224	275	224	340	224	275	340
250	224	275	224	340	224	275	340
251	224	275	224	340	224	275	340
252	224	275	224	340	224	275	340
253	224	275	224	340	224	275	340
254	224	275	224	340	224	275	340
255	224	275	224	340	224	275	340
256	224	275	224	340	224	275	340
257	224	275	224	340	224	275	340
258	224	275	224	340	224	275	340
259	224	275	224	340	224	275	340
260	224	275	224	340	224	275	340
261	224	275	224	340	224	275	340
262	224	275	224	340	224	275	340
263	224	275	224	340	224	275	340
264	224	275	224	340	224	275	340
265	224	275	224	340	224	275	340
266	224	275	224	340	224	275	340
267	224	275	224	340	224	275	340
268	224	275	224	340	224	275	340
269	224	275	224	340	224	275	340
270	224	275	224	340	224	275	340
271	224	275	224	340	224	275	340
272	224	275	224	340	224	275	340
273	224	275	224	340	224	275	340
274	224	275	224	340	224	275	340
275	224	275	224	340	224	275	340
276	224	275	224	340	224	275	340
277	224	275	224	340	224	275	340
278	224	275	224	340	224	275	340
279	224	275	224	340	224	275	340
280	224	275	224	340	224	275	340
281	224	275	224	340	224	275	340
282	224	275	224	340	224	275	340
283	224	275	224	340	224	275	340
284	224	275	224	340	224	275	340
285	224	275	224	340	224	275	340
286	224	275	224	340	224	275	340
287	224	275	224	340	224	275	340
288	224	275	224	340	224	275	340
289	224	275	224	340	224	275	340
290	224	275	224	340	224	275	340
291	224	275	224	340	224	275	340
292	224	275	224	340	224	275	340
293	224	275	224	340	224	275	340
294	224	275	224	340	224	275	340
295	224	275	224	340	224	275	340
296	224	275	224	340	224	275	340
297	224	275	224	340	224	275	340
298	224	275	224	340	224	275	340
299	224	275	224	340	224	275	340
300	224	275	224	340	224	275	340
301	224	275	224	340	224	275	340
302	224	275	224	340	224	275	340
303	224	275	224	340	224	275	340
304	224	275	224	340	224	275	340
305	224	275	224	340	224	275	340
306	224	275	224	340	224	275	340
307	224	275	224	340	224	275	340
308	219	262	219	340	219	262	340
309	224	275	224	340	224	275	340
310	219	262	219	340	219	262	340
311	224	275	224	340	224	275	340
312	219	262	219	340	219	262	340
313	219	262	219	340	219	262	340
314	219	262	219	340	219	262	340
315	219	262	219	340	219	262	340
316	219	262	219	340	219	262	340
317	219	262	219	340	219	262	340
318	219	262	219	340	219	262	340
319	219	262	219	340	219	262	340
320	219	262	219	340	219	262	340
321	219	262	219	340	219	262	340
322	219	262	219	340	219	262	340
323	219	262	219	340	219	262	340
324	219	262	219	340	219	262	340
325	219	262	219	340	219	262	340
326	219	262	219	340	219	262	340
327	219	262	219	340	219	262	340
328	219	262	219	340	219	262	340
329	219	262	219	340	219	262	340
330	219	262	219	340	219	262	340
331	219	262	219	340	219	262	340
332	219	262	219	340	219	262	340
333	219	262	219	340	219	262	340
334	219	262	219	340	219	262	340
335	219	262	219	340	219	262	340
336	219	262	219	340	219	262	340
337	219	262	219	340	219	262	340
338	219	262	219	340	219	262	340
339	219	262	219	340	219	262	340
340	219	262	219	340	219	262	340
341	219	262	219	340	219	262	340
342	219	262	219	340	219	262	340
343	219	262	219	340	219	262	340
344	219	262	219	340	219	262	340
345	219	262	219	340	219	262	340
346	219	262	219	340	219	262	340
347	219	262	219	340	219	262	340
348	219	262	219	340	219	262	340
349	219	262	219	340	219	262	340
350	219	262	219	340	219	262	340
351	219	262	219	340	219	262	340
352	219	262	219	340	219	262	340
353	219	262	219	340	219	262	340
354	219	262	219	340	219	262	340
355	219	262	219	340	219	262	340
356	219	262	219	340	219	262	340
357	219	262	219	340	219	262	340
358	219	262	219	340	219	262	340
359	219	262	219	340	219	262	340
360	219	262	219	340	219	262	340
361	219	262	219	340	219	262	340
362	219	262	219	340	219	262	340
363	219	262	219	340	219	262	340
364	219	262	219	340	219	262	340
365	219	262	219	340	219	262	340
366	219	262	219	340	219	262	340
367	219	262	219	340	219	262	340
368	219	262	219	340	219	262	340
369	219	262	219	340	219	262	340
370	220	263	220	340	220	263	340
371	220	263	220	340	220	263	340
372	220	263	220	340	220	263	340
373	220	263	220	340	220	263	340
374	220	263	220	340	220	263	340
375	220	263	220	340	220	263	340
376	220	263	220	340	220	263	340
377	220	263	220	340	220	263	340
378	220	263	220	340	220	263	340
379	220	263	220	340	220	263	340
380	219	262	219	340	219	262	340
381	219	262	219	340	219	262	340
382	220	263	220	340	220	263	340
383	220	263	220	340	220	263	340
384	220	263	220	340	220	263	340
385	219	262	219	340	219	262	340
386	219	262	219	340	219	262	340
387	219	262	219	340	219	262	340
388	221	266	221	340	221	266	340
389	221	266	221	340	221	266	340
390	221	266	221	340	221	266	340
391	220	263	220	340	220	263	340
392	221	266	221	340	221	266	340
393	220	263	220	340	220	263	340
394	220	263	220	340	220	263	340
395	220	263	220	340	220	263	340
396	220	263	220	340	220	263	340
397	220	263	220	340	220	263	340
398	221	266	221	340	221	266	340
399	221	266	221	340	221	266	340
400	221	266	221	340	221	266	340
401	221	266	221	340	221	266	340
402	222	268	222	340	222	268	340
403	222	268	222	340	222	268	340
404	222	268	222	340	222	268	340
405	222	268	222	340	222	268	340
406	222	268	222	340	222	268	340
407	222	268	222	340	222	268	340
408	222	268	222	340	222	268	340
409	222	268	222	340	222	268	340
410	223	269	223	340	223	269	340
411	223	269	223	340	223	269	340
412	223	269	223	340	223	269	340
413	223	269	223	340	223	269	340
414	223	269	223	340	223	269	340
415	223	269	223	340	223	269	340
416	223	269	223	340	223	269	340
417	223	269	223	340	223	269	340
418	223	269	223	340	223	269	340
419	223	269	223	340	223	269	340
420	223	269	223	340	223	269	340
421	223	269	223	340	223	269	340
422	223	269	223	340	223	269	340
423	223	269	223	340	223	269	340
424	223	269	223	340	223	269	340
425	223	269	223	340	223	269	340
426	223	269	223	340	223	269	340
427	223	269	223	340	223	269	340
428	223	269	223	340	223	269	340
429	223	269	223	340	223	269	340
430	223	269	223	340	223	269	340
431	223	269	223	340	223	269	340
432	223	269	223	340	223	269	340
433	223	269	223	340	223	269	340
434	223	269	223	340	223	269	340
435	223	269	223	340	223	269	340
436	223	269	223	340	223	269	340
437	223	269	223	340	223	269	340
438	223	269	223	340	223	269	340
439	223	269	223	340	223	269	340
440	223	269	223	340	223	269	340
441	223	269	223	340	223	269	340
442	223	269	223	340	223	269	340
443	223	269	223	340	223	269	340
444	223	269	223	340	223	269	340
445	223	269	223	340	223	269	340
446	223	269	223	340	223	269	340
447	223	269	223	340	223	269	340
448	223	269	223	340	223	269	340
449	223	269	223	340	223	269	340
450	223	269	223	340	223	269	340
451	223	269	223	340	223	269	340
452	223	269	223	340	223	269	340
453	223	269	223	340	223	269	340
454	223	269	223	340	223	269	340
455	223	269	223	340	223	269	340
456	223	269	223	340	223	269	340
457	223	269	223	340	223	269	340
458	223	269	223	340	223	269	340
459	223	269	223	340	223	269	340
460	223	269	223	340	223	269	340
461	223	269	223	340	223	269	340
462	223	269	223	340	223	269	340
463	223	269	223	340	223	269	340
464	223	269	223	340	223	269	340
465	223	269	223	340	223	269	340
466	223	269	223	340	223	269	340
467	223	269	223	340	223	269	340
468	223	269	223	340	223	269	340
469	223	269	223	340	223	269	340
470	223	269	223	340	223	269	340
471	223	269	223	340	223	269	340
472	223	269	223	340	223	269	340
473	223	269	223	340	223	269	340
474	223	269	223	340	223	269	340
475	223	269	223	340	223	269	340
476	223	269	223	340	223	269	340
477	223	269	223	340	223	269	340
478	223	269	223	340	223	269	340
479	223	269	223	340	223	269	340
480	223	269	223	340	223	269	340
481	223	269	223	340	223	269	340
482	223	269	223	340	223	269	340
483	223	269	223	340	223	269	340
484	223	269	223	340	223	269	340
485	223	269	223	340	223	269	340
486	223	269	223	340	223	269	340
487	223	269	223	340	223	269	340
488	223	269	223	340	223	269	340
489	223	269	223	340	223	269	340
490	223	269	223	340	223	269	340
491	223	269	223	340	223	269	340
492	223	269	223	340	223	269	340
493	223	269	223	340	223	269	340
494	223	269	223	340	223	269	340
495	223	269	223	340	223	269	340
496	223	269	223	340	223	269	340
497	223	269	223	340	223	269	340
498	223	269	223	340	223	269	340
499	223	269	223	340	223	269	340
500	223	269	223	340	223	269	340
501	223	269	223	340	223	269	340
502	223	269	223	340	223	269	340
503	223	269	223	340	223	269	340
504	223	269	223	340	223	269	340
505	223	269	223	340	223	269	340
506	223	269	223	340	223	269	340
507	223	269	223	340	223	269	340
508	223	269	223	340	223	269	340
509	223	269	223	340	223	269	340
510	223	269	223	340	223	269	340
511	223	269	223	340	223	269	340
512	223	269	223	340	223	269	340
513	223	269	223	340	223	269	340
514	223	269	223	340	223	269	340
515	223	269	223	340	223	269	340
516	223	269	223	340	223	269	340
517	223	269	223	340	223	269	340
518	223	269	223	340	223	269	340
519	223	269	223	340	223	269	340
520	223	269	223	340	223	269	340
521	223	269	223	340	223	269	340
522	223	269	223	340	223	269	340
523	223	269	223	340	223	269	340
524	223	269	223	340	223	269	340
525	223	269	223	340	223	269	340
526	223	269	223	340	223	269	340
527	223	269	223	340	223	269	340
528	223	269	223	340	223	269	340
529	223	269	223	340	223	269	340
530	223	269	223	340	223	269	340
531	223	269	223	340	223	269	340
532	223	269	223	340	223	269	340
533	223	269	223	340	223	269	340
534	223	269	223	340	223	269	340
535	223	269	223	340	223	269	340
536	223	269	223	340	223	269	340
537	223	269	223	340	223	269	340
538	223	269	223	340	223	269	340
539	223	269	223	340	223	269	340
540	223	269	223	340	223	269	340
541	223	269	223	340	223	269	340
542	223	269	223	340	223	269	340
543	223	269	223	340	223	269	340
544	223	269	223	340	223	269	340
545	223	269	223	340	223	269	340
546	223	269	223	340	223	269	340
547	223	269	223	340	223	269	340
548	223	269	223	340	223	269	340
549	223	269	223	340	223	269	340
550	223	269	223	340	223	269	340
551	223	269	223	340	223	269	340
552	223	269	223	340	223	269	340
553	223	269	223	340	223	269	340
554	223	269	223	340	223	269	340
555	223	269	223	340	223	269	340
556	223	269	223	340	223	269	340
557	223	269	223	340	223	269	340
558	223	269	223	340	223	269	340
559	223	269	223	340	223	269	340
560	223	269	223	340	223	269	340
561	223	269	223	340	223	269	340
562	223	269	223	340	223	269	340
563	223	269	223	340	223	269	340
564	223	269	223	340	223	269	340
565	223	269	223	340	223	269	340
566	223	269	223	340	223	269	340
567	223	269	223	340	223	269	340
568	223	269	223	340	223	269	340
569	223	269	223	340	223	269	340
570	223	269	223	340	223	269	340
571	223	269	223	340	223	269	340
572	223	269	223	340	223	269	340
573	223	269	223	340	223	269	340
574	223	269	223	340	223	269	340
575	223	269	223	340	223	269	340
576	223	269	223	340	223	269	340
577	223	269	223	340	223	269	340
578	223	269	223	340	223	269	340
579	223	269	223	340	223	269	340
580	223	269	223	340	223	269	340
581	223	269	223	340	223	269	340
582	223	269	223	340	223	269	340
583	223	269	223	340	223	269	340
584	223	269	223	340	223	269	340
585	223	269	223	340	223	269	340
586	223	269	223	340	223	269	340
587	223	269	223	340	223	269	340
588	223	269	223	340	223	269	340
589	223	269	223	340	223	269	340
590	223	269	223	340	223	269	340
591	223	269	223	340	223	269	340
592	223	269	223	340	223	269	340
593	223	269	223	340	223	269	340
594	223	269	223	340	223	269	340
595	223	269	223	340	223	269	340
596	223	269	223	340	223	269	340
597	223	269	223	340	223	269	340
598	223	269	223	340	223	269	340
599	223	269	223	340	223	269	340
600	223	269	223	340	223	269	340
601	223	269	223	340	223	269	340
602	223	269	223	340	223	269	340
603	223	269	223	340	223	269	340
604	223	269	223	340	223	269	340
605	223	269	223	340	223	269	340
606	223	269	223	340	223	269	340
