iter	Passed	Remaining
0	30	30524
1	69	34751
2	86	28806
3	109	27301
4	134	26863
5	142	23669
6	159	22633
7	165	20512
8	189	20819
9	206	20412
10	212	19080
11	227	18756
12	236	17953
13	243	17157
14	253	16624
15	264	16276
16	270	15618
17	279	15260
18	295	15262
19	305	14986
20	321	15007
21	327	14551
22	334	14206
23	350	14264
24	366	14291
25	384	14385
26	391	14093
27	400	13915
28	418	13999
29	422	13668
30	444	13909
31	460	13930
32	476	13956
33	490	13929
34	498	13744
35	511	13684
36	516	13437
37	521	13209
38	528	13024
39	534	12820
40	551	12909
41	560	12786
42	571	12712
43	587	12762
44	594	12618
45	611	12686
46	630	12776
47	641	12717
48	657	12764
49	673	12799
50	679	12649
51	685	12503
52	706	12620
53	716	12554
54	723	12422
55	739	12473
56	748	12380
57	757	12302
58	764	12201
59	770	12067
60	782	12042
61	802	12143
62	813	12101
63	819	11986
64	830	11942
65	836	11836
66	858	11959
67	875	11996
68	907	12245
69	928	12337
70	935	12237
71	950	12248
72	982	12479
73	1001	12533
74	1008	12440
75	1017	12372
76	1033	12391
77	1039	12292
78	1051	12253
79	1077	12390
80	1085	12314
81	1102	12338
82	1141	12612
83	1149	12540
84	1179	12701
85	1188	12626
86	1204	12645
87	1225	12695
88	1236	12661
89	1249	12632
90	1266	12655
91	1280	12633
92	1288	12568
93	1294	12476
94	1317	12551
95	1334	12570
96	1345	12527
97	1375	12657
98	1394	12687
99	1410	12692
100	1427	12706
101	1438	12661
102	1450	12628
103	1464	12618
104	1474	12569
105	1500	12653
106	1512	12622
107	1572	12989
108	1585	12963
109	1606	12997
110	1624	13013
111	1646	13053
112	1683	13213
113	1705	13258
114	1710	13160
115	1729	13180
116	1749	13200
117	1777	13287
118	1794	13285
119	1806	13245
120	1827	13277
121	1844	13277
122	1857	13244
123	1876	13259
124	1884	13193
125	1909	13242
126	1921	13205
127	1953	13305
128	1967	13283
129	1975	13221
130	1988	13192
131	2003	13173
132	2013	13127
133	2034	13148
134	2047	13120
135	2075	13187
136	2095	13199
137	2107	13163
138	2113	13091
139	2133	13103
140	2146	13077
141	2159	13045
142	2182	13082
143	2188	13008
144	2205	13007
145	2224	13010
146	2244	13023
147	2255	12983
148	2275	12995
149	2299	13028
150	2310	12988
151	2333	13018
152	2362	13080
153	2376	13053
154	2408	13130
155	2433	13166
156	2457	13197
157	2463	13125
158	2497	13211
159	2515	13208
160	2542	13248
161	2555	13218
162	2574	13222
163	2590	13205
164	2603	13175
165	2614	13136
166	2637	13155
167	2648	13114
168	2665	13107
169	2682	13097
170	2698	13081
171	2707	13035
172	2725	13030
173	2743	13023
174	2775	13086
175	2801	13116
176	2811	13072
177	2845	13140
178	2856	13102
179	2873	13089
180	2884	13050
181	2890	12989
182	2901	12952
183	2912	12917
184	2925	12886
185	2945	12891
186	2950	12828
187	2961	12792
188	2974	12764
189	2983	12719
190	2999	12705
191	3018	12701
192	3040	12713
193	3059	12711
194	3073	12688
195	3093	12688
196	3112	12689
197	3133	12692
198	3156	12707
199	3194	12778
200	3205	12744
201	3232	12770
202	3247	12750
203	3261	12725
204	3296	12785
205	3317	12787
206	3330	12759
207	3362	12802
208	3374	12770
209	3392	12762
210	3405	12734
